81 Base Metals Nesoi; Cermets; Articles Thereof,Base Metals,,
"05 Products Of Animal Origin, Nesoi",Miscellaneous Products of Animal Origin,,
57 Carpets And Other Textile Floor Coverings,Carpets and Other Textile Floor Coverings,,
"56 Wadding, Felt Etc; Sp Yarn; Twine, Ropes Etc.","Wadding, Felt, Yarn, Twine, Ropes",,
17 Sugars And Sugar Confectionary,Sugars and Sugar Products,,
"49 Printed Books, Newspapers Etc; Manuscripts Etc","Books, Newspapers, Magazines",,
11 Milling Products; Malt; Starch; Inulin; Wht Gluten,"Milling Products, Malt, Starch",,
18 Cocoa And Cocoa Preparations,Cocoa and Cocoa Products,,
47 Wood Pulp Etc; Recovd (waste & Scrap) ppr & pprbd,"Wood Pulp, Paper and Paperboard Waste",,
79 Zinc And Articles Thereof,Zinc and Zinc Products,,
92 Musical Instruments; Parts And Accessories Thereof,Musical Instruments and Parts,,
78 Lead And Articles Thereof,Lead and Lead Products,,
37 Photographic Or Cinematographic Goods,Photographic or Cinematographic Goods,,
60 Knitted Or Crocheted Fabrics,Knitted or Crocheted Fabrics,,
"54 Manmade Filaments, Including Yarns & Woven Fabrics",Manmade Fliaments and Woven Fabrics,,
65 Headgear And Parts Thereof,Headgear and Parts,,
"55 Manmade Staple Fibers, Incl Yarns & Woven Fabrics","Manmade Fibers, Yarns, Woven Fabrics",,
"67 Prep Feathers, Down Etc; Artif Flowers; H Hair Art","Feathers, Down, Artificial Flowers",,
"46 Mfr Of Straw, Esparto Etc.; Basketware & Wickerwrk",Baskets and Straw Products,,
91 Clocks And Watches And Parts Thereof,"Clocks, Watches and Parts",,
"66 Umbrellas, Walking-sticks, Riding-crops Etc, Parts","Umbrellas, Walking-Sticks, Riding-Crops",,
24 Tobacco And Manufactured Tobacco Substitutes,Tobacco and Tobacco Substitutes,,
58 Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,"Specialty Fabrics, Lace, Tapestries",,
14 Vegetable Plaiting Materials & Products Nesoi,Miscellaneous Vegetable Materials and Products,,
01 Live Animals,Live Animals,,
"51 Wool & Animal Hair, Including Yarn & Woven Fabric","Wool, Animal Hair Woven Fabrics",,
53 Veg Text Fib Nesoi; Veg Fib & Paper Yns & Wov Fab,Vegetable and Paper Textile Fibers,,
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","Live Trees, Plants, Bulbs, Cut Flowers",,
43 Furskins And Artificial Fur; Manufactures Thereof,Animal and Artificial Furs,,
45 Cork And Articles Of Cork,Cork and Cork Products,,
80 Tin And Articles Thereof,Tin and Tin Products,,
"50 Silk, Including Yarns And Woven Fabric Thereof",Silk Woven Fabrics,,
,,,
,,,
